id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-10-17T02:26:22;Loop;CANCELLED;PAYPAL;2022-10-16T20:46:47;22604
2;calculating;2022-10-17T02:54:45;haptic 1080p;ISSUED;PAYPAL;2022-10-16T14:08:25;10489
3;national Frozen Berkshire;2022-10-17T03:09:35;Account Borders Home;PAID;CREDIT_CARD;2022-10-16T17:52:26;36325
4;monitor;2022-10-16T13:12:11;parse intuitive Division;CANCELLED;PAYPAL;2022-10-16T14:47:12;13687
5;synergy transmitting;2022-10-16T13:14:26;parse Gloves;ISSUED;PAYPAL;2022-10-16T21:51:04;92472
6;function;2022-10-16T18:07:54;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-10-17T05:14:55;26944
7;Maine;2022-10-17T04:34:17;RAM;ISSUED;PAYPAL;2022-10-17T09:36:09;32458
8;Analyst Agent;2022-10-17T08:28:59;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-10-17T05:30:41;79389
9;Salad;2022-10-16T14:37:41;Gorgeous;ISSUED;CREDIT_CARD;2022-10-16T23:24:05;62169
10;Pants Wooden Intuitive;2022-10-17T00:01:38;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-10-16T19:56:15;58737
