id;placed_date;status;code;invoice_id;customer_id
1;2022-10-17T01:58:38;COMPLETED;Electronics;57858;1
2;2022-10-17T05:36:38;CANCELLED;withdrawal virtual;42917;2
3;2022-10-16T12:38:58;COMPLETED;compress Soft cross-platform;960;2
4;2022-10-16T22:48:30;COMPLETED;Expanded;88753;2
5;2022-10-16T18:56:40;CANCELLED;Hat;10576;1
6;2022-10-16T19:35:26;PENDING;Regional harness Holy;55347;1
7;2022-10-16T11:36:13;COMPLETED;Decentralized Visionary;88231;2
8;2022-10-16T13:55:12;COMPLETED;Credit Soft Cotton;23331;1
9;2022-10-16T17:23:38;PENDING;Implemented;30578;2
10;2022-10-17T05:35:31;PENDING;solution protocol;72463;1
